star	end
1	2
1	3
1	4
2	1
2	3
2	30
3	1
3	2
3	5
3	31
4	1
4	5
4	6
5	3
5	4
5	7
5	33
6	4
6	7
6	8
7	5
7	6
7	9
8	6
8	9
8	10
9	7
9	8
9	11
9	36
10	8
10	11
10	12
11	9
11	10
11	14
11	47
12	10
12	13
13	12
13	14
13	15
14	11
14	13
14	16
14	21
15	13
15	16
15	19
16	14
16	15
16	17
17	16
17	18
17	19
18	17
18	20
18	25
19	15
19	17
20	18
20	21
20	24
21	14
21	20
21	22
22	21
22	23
22	24
22	27
23	22
23	41
23	48
24	20
24	22
24	25
24	26
25	18
25	24
25	63
26	24
26	27
26	61
27	22
27	26
27	64
28	29
28	64
28	65
29	28
29	35
29	58
30	2
30	31
30	50
31	3
31	30
31	32
31	68
32	31
32	33
33	32
33	34
33	67
34	7
34	33
34	35
34	71
35	9
35	34
35	36
35	29
36	9
36	35
36	37
36	46
37	38
37	39
37	36
37	47
38	37
38	47
38	39
39	37
39	38
39	40
39	41
40	39
40	41
40	46
41	23
41	40
41	42
42	41
42	48
42	43
43	42
43	43
44	42
44	43
44	45
45	44
45	46
45	49
46	36
46	40
46	45
47	11
47	37
47	38
48	23
48	42
49	45
50	30
50	51
51	50
51	52
52	51
52	53
52	55
52	68
53	52
53	67
53	55
55	52
55	53
55	56
56	55
56	57
57	56
57	58
57	71
58	29
58	57
58	59
59	58
59	65
59	60
60	59
60	61
60	66
61	60
61	62
61	26
62	61
62	63
63	25
63	62
64	27
64	28
64	66
65	28
65	59
65	66
66	60
66	64
66	65
67	33
67	53
67	68
67	71
68	31
68	52
68	67
68	69
69	68
69	70
70	50
70	51
70	69
71	34
71	57
71	67
