节点 经度 纬度
1 113.01772683 23.30042211 
2 112.96148945 23.21077795 
3 113.01658612 23.20803641 
4 113.09649563 23.30853743 
5 113.10486136 23.21795220 
6 113.13081062 23.30890815 
7 113.16370574 23.23231032 
8 113.19467666 23.30717664 
9 113.20332299 23.23030907 
10 113.26783482 23.30301716 
11 113.25692842 23.23570507 
12 113.33256659 23.29242850 
13 113.36248394 23.27827203 
14 113.36276069 23.21028204 
15 113.42974595 23.25176618 
17 113.48506711 23.19547596 
16 113.38637925 23.21390125 
18 113.48683835 23.15029109 
19 113.47813129 23.21576653 
20 113.39473824 23.15409649 
21 113.35787648 23.16521481 
23 113.29768749 23.15339735 
22 113.35559148 23.14665967 
24 113.40107063 23.13312419 
25 113.50044363 23.11769992 
26 113.36996672 23.08312600 
27 113.33745025 23.06845567 
28 113.25057229 23.05589993 
29 113.21510804 23.05313002 
30 112.92061094 23.15686863 
31 113.00943891 23.13299037 
32 113.09740944 23.13139033 
33 113.12970590 23.12699846 
34 113.15710340 23.14034813 
35 113.19327648 23.15710725 
36 113.21870554 23.16622580 
37 113.24869868 23.16650511 
38 113.25389173 23.16462544 
39 113.25158767 23.16213940 
40 113.24366726 23.14959136 
41 113.27606654 23.14536980 
42. 113.27405677 23.11693463 
43 113.25014482 23.09804793 
44 113.24424349 23.11184272 
45 113.22463689 23.12846514 
46 113.23011264 23.14169706 
47 113.25488196 23.18938014 
48 113.30270336 23.13049186 
49 113.20549180 23.11702017 
50 112.89327512 23.09991578 
51 112.90711097 22.97901446 
52 113.01432143 22.98904456 
53 113.03957422 22.99360063 
55 113.02981430 22.93135687 
56 113.17177062 22.91390014 
57 113.17462309 22.97621764 
58 113.22981977 22.98522164 
59 113.27705620 22.97106884 
60 113.33891387 22.98627123 
61 113.38382113 22.99117664 
62 113.43808653 23.01245892 
63 113.49290198 23.09571851 
64 113.32168707 23.06682070 
65 113.27449987 23.01523521 
66 113.31743648 23.01545751 
67 113.09938894 23.06731274 
68 113.00365942 23.08818242 
69 112.95691776 23.06802310 
70 112.89817377 23.05172133 
71 113.16426213 23.06915677 
